date,region,special,first,second,third,fourth,fifth,sixth,seventh
01/01/2024,XSMB,42932,66272,27370|68541,55788|04997|82222|02980|83746|18098,5667|8086|5934|0473,1851|1006|0384|6131|8065|5365,255|166|353,53|73|45|79
02/01/2024,XSMB,10956,44230,11435|21121,29001|29348|14423|05075|13469|49804,3705|3839|0998|9020,1408|5422|2848|4904|4073|2200,387|850|383,35|44|10|59
03/01/2024,XSMB,62495,61083,88825|25631,81244|41936|65835|18119|78762|30466,7275|3934|7969|3310,1198|2132|6734|7342|0172|3018,920|945|848,61|14|85|25
04/01/2024,XSMB,10240,34474,50418|44965,09694|12063|98849|11096|80662|43064,1261|9934|1267|7227,0113|5320|3130|4972|0271|6073,278|247|228,62|12|36|02
05/01/2024,XSMB,38267,08715,71363|28859,50469|00804|01569|47304|36547|91458,5367|6717|9652|1153,9201|2426|2161|8950|6793|5932,011|537|441,96|63|69|45
06/01/2024,XSMB,72794,84069,21604|16014,04012|40496|62097|07165|85606|43931,8124|4326|2175|2281,9781|2917|0303|9824|6836|6036,428|187|412,74|96|58|03
07/01/2024,XSMB,69618,77903,10601|27302,64369|67113|39541|91989|70398|06419,2465|5299|8705|5568,1279|2671|9902|2142|3112|6408,615|603|561,85|67|75|12
08/01/2024,XSMB,91089,52095,24298|86032,11702|12468|64339|84213|63964|15587,0375|1988|6675|2621,9023|5030|2454|6261|8831|2653,721|356|691,19|77|78|40
10/01/2024,XSMB,73732,50059,19807|73809,66964|33254|07140|58867|39737|18690,2491|3655|4882|4833,2714|2679|1364|4418|4801|4632,105|627|143,95|84|83|53
11/01/2024,XSMB,28285,45785,14065|97397,20245|50613|86575|83291|97109|29793,1447|8321|7343|5081,3322|1578|6731|2390|3687|3549,185|547|711,82|23|28|84
12/01/2024,XSMB,13113,39786,66200|15781,57716|05600|89058|37477|31125|85815,2872|4210|3055|7656,5975|9865|4483|4984|9833|9996,906|600|547,02|93|53|59
13/01/2024,XSMB,68586,68404,00715|37358,42487|35931|84669|00195|50191|47172,7115|9490|6813|5843,4317|2315|7929|3632|1844|6497,990|475|786,17|99|63|85
14/01/2024,XSMB,91138,42203,16727|62518,40212|38181|55475|98984|20314|05059,8841|4036|0947|9799,9576|2316|6534|0618|1125|2257,115|313|503,71|91|34|85
15/01/2024,XSMB,63261,52395,54221|54937,21642|72620|46915|40939|66975|95237,9526|9444|4855|6097,3145|6073|1774|9335|2193|0747,934|367|864,94|59|67|21
